Name,Type,Subtype,Code,Quantity
Dominion Tower,Starbase,,002/240,1
Enthrallment Tower,Starbase,,004/240,1
Stain,Outer Region,,008/240,1
Monopoly Tower,Starbase,,009/240,1
Insmother,Outer Region,,018/240,1
Lonetrek,Outer Region,,020/240,1
Metropolis,Outer Region,,021/240,1
Molden Heath,Outer Region,,022/240,1
Sansha’s Nation,Outer Region,,024/240,1
Serpentis Prime,Outer Region,,026/240,1
The Khanid Kingdom,Outer Region,,029/240,1
The Tierijev Pocket,Outer Region,,030/240,1
Arkonor,Location,Asteroid Field,033/240,1
Crumbling Moon,Location,Moon,036/240,2
Gneiss,Location,Asteroid Field,039/240,2
Hemorphite,Location,Asteroid Field,041/240,2
Pyroxeres,Location,Asteroid Field,049/240,2
Scordite,Location,Asteroid Field,054/240,1
Tourist Resort,Location,Planet,059/240,2
Veldpsar,Location,Asteroid Field,060/240,3
Center of Astrogeology,Starbase Structure,,067/240,1
Labour Quarters,Starbase Structure,,083/240,1
Legal Department,News,,084/240,1
Sentry Gun,Starbase Structure,,095/240,1
Atron,Ship,Frigate,109/240,2
Catalyst,Ship,Destroyer,122/240,1
Celestis,Ship,Frigate,123/240,1
Exequror,Ship,Cruiser,131/240,1
Imicus,Ship,Frigate,138/240,2
Incursus,Ship,Frigate,140/240,2
Maulus,Ship,Frigate,147/240,2
Oneiros,Ship,Cruiser > Logistic,153/240,1
Tristan,Ship,Frigate,173/240,2
Velator,Ship,Scout,175/240,2
Armageddon Project,News,,180/240,1
Damage Control,News,,189/240,1
Lost Deliveries,News,,209/240,1
Mind Clash,News,,213/240,1
Stubborn Mechanic,News,,231/240,2
Veteran’s Premature Retirement,News,,239/240,2
